Symbol ID,X,Y,Z
1,-0.398317,0.852969,0.337325
2,-0.208478,0.735642,0.644490
3,-0.189839,-0.981815,0.000000
4,0.189839,-0.981815,-0.000000
5,-0.735642,0.644490,-0.208478
6,-0.337325,0.398317,0.852969
7,-0.398317,-0.852969,-0.337325
8,0.398317,-0.852969,0.337325
9,0.644490,0.208478,0.735642
10,-0.208478,-0.735642,0.644490
11,0.208478,-0.735642,-0.644490
12,0.735642,0.644490,0.208478
13,-0.000000,-0.189839,-0.981815
14,-0.981815,-0.000000,0.189839
15,-0.644490,0.208478,0.735642
16,0.981815,0.000000,0.189839
17,-0.644490,-0.208478,-0.735642
18,0.644490,-0.208478,-0.735642
19,0.398317,0.852969,-0.337325
20,0.208478,0.735642,0.644490
21,-0.852969,-0.337325,-0.398317
22,-0.735642,0.644490,0.208478
23,0.337325,0.398317,-0.852969
24,-0.735642,-0.644490,-0.208478
25,-0.398317,-0.852969,0.337325
26,0.000000,-0.189839,0.981815
27,-0.189839,0.981815,0.000000
28,0.981815,0.000000,-0.189839
29,0.644490,-0.208478,0.735642
30,0.644490,0.208478,-0.735642
31,-0.208478,0.735642,-0.644490
32,0.208478,0.735642,-0.644490
33,0.852969,0.337325,-0.398317
34,-0.337325,-0.398317,0.852969
35,-0.644490,0.208478,-0.735642
36,-0.852969,0.337325,0.398317
37,-0.398317,0.852969,-0.337325
38,0.852969,-0.337325,0.398317
39,-0.644490,-0.208478,0.735642
40,0.398317,0.852969,0.337325
41,0.735642,0.644490,-0.208478
42,0.852969,0.337325,0.398317
43,0.403766,-0.587599,0.701214
44,-0.337325,0.398317,-0.852969
45,0.735642,-0.644490,-0.208478
46,-0.337325,-0.398317,-0.852969
47,-0.852969,-0.337325,0.398317
48,0.735642,-0.644490,0.208478
49,-0.208478,-0.735642,-0.644490
50,0.398317,-0.852969,-0.337325
51,0.000000,0.189839,0.981815
52,0.189839,0.981815,-0.000000
53,-0.852969,0.337325,-0.398317
54,0.208478,-0.735642,0.644490
55,0.337325,-0.398317,-0.852969
56,-0.981815,-0.000000,-0.189839
57,0.337325,0.398317,0.852969
58,-0.000000,0.189839,-0.981815
59,-0.735642,-0.644490,0.208478
60,0.852969,-0.337325,-0.398317
